id,name,level,country,profitableEffiieny,annualRevenue,employees,city,founded_year
42,Rodriguez LL,2,China,29.10419251,117319,4031,Shanghai,1993
43,Allen-Allen,2,China,547.587963,591395,1080,Nanjing,1998
44,"Arroyo, Miller and Tuker",2,Germany,58.03426312,264230,4553,Dortmund,2021
45,Spene PL,2,Germany,164.8910694,579757,3516,ologne,1967
46,Anderson Group,2,Japan,525.6157926,891970,1697,Kawasaki,1996
47,"Martin, Rose and Obrien",2,UK,66.35316822,206292,3109,Sheffield,1985
48,Hikman Ltd,2,anada,757.3775216,788430,1041,Hamilton,1957
49,"Harris, ollins and arney",2,Japan,68.88506563,194187,2819,Nagoya,1908
50,"Brooks, Lam and Hayes",2,USA,101.1715762,195767,1935,San Jose,1970
1,Walker LL,3,Japan,127.4650538,94834,744,Tokyo,1994
2,hapman and Sons,3,USA,97.71700106,92538,947,Houston,1994
3,"Robinson, Jones and Welh",3,USA,789.2216117,430915,546,Philadelphia,1994
4,Jones In,3,Japan,344.8619247,82422,239,Sapporo,2021
5,Jones-Young,3,Germany,668.6828358,179207,268,Leipzig,2020
6,"Washington, Ryan and ummings",3,anada,507.4655172,58866,116,Winnipeg,2002
7,"Johnston, Sanhez and Kennedy",3,China,291.2516556,131937,453,Tianjin,2012
8,Lee-Davis,3,Frane,88.71368124,62898,709,Montpellier,1993
9,Gomez-Jenkins,3,China,114.3620915,87487,765,Beijing,2015
10,"Brown, Valdez and Luas",3,India,908.5231481,196241,216,Delhi,2005
11,Powell LL,3,Japan,468.6257669,76386,163,Kawasaki,2018
12,Wright and Sons,3,Frane,452.7789047,223220,493,Lyon,2007
13,"West, Henderson and Ramirez",3,Japan,377.6824085,319897,847,Osaka,2018
14,Baxter In,3,China,2561.582609,294582,115,Beijing,1990
15,Morton-hase,3,Japan,128.311412,66337,517,Yokohama,2016
16,Williams PL,3,anada,275.1313559,259724,944,algary,2015
17,Novak and Sons,3,USA,7713.545455,169698,22,hiago,2014
18,Russell Group,3,Frane,356.1955128,111133,312,Nie,2019
19,Hanok In,3,Frane,667.0561798,118736,178,Bordeaux,2021
20,Gray Group,3,Japan,2125.405063,167907,79,Sapporo,2003
21,House-Glover,3,USA,2314.492958,164329,71,Philadelphia,1993
22,Henderson-Bernard,3,anada,642.281768,116253,181,Hamilton,2023
23,"Stanley, Tuker and Lee",3,USA,133.620651,119056,891,Dallas,1995
24,Novak PL,3,Germany,113.6821378,80828,711,Munih,1994
25,"Daniels, Adkins and Brown",3,Japan,157.2256098,154710,984,Kobe,1997
26,"Woods, alhoun and Shmidt",3,Japan,167.9235474,109822,654,Saitama,1992
27,Yu In,3,China,443.4081633,152089,343,Tianjin,2023
28,Jones In,3,UK,1569.856061,414442,264,Liverpool,2010
29,"Hensley, Powell and David",3,UK,129.9080622,91845,707,Sheffield,1998
30,"Sanhez, Wheeler and Harvey",3,UK,139.8022657,135748,971,Edinburgh,2010
31,Sandoval-unningham,3,China,190.3810976,124890,656,Beijing,2019
32,Donovan-Harris,3,China,305.8550186,164550,538,Shanghai,2003
33,"Edwards, Baker and Anderson",3,UK,215.1464208,198365,922,Birmingham,2012
34,"Evans, Stewart and Walton",3,China,552.5659164,171848,311,Shenzhen,2013
35,Smith PL,3,Germany,254.4798762,164394,646,Dortmund,2009
36,"Ferrell, Jones and Lewis",3,USA,202.5554415,197289,974,Dallas,2009
37,Anderson-Bailey,3,China,1077.101449,148640,138,Guangzhou,2006
38,Suarez LL,3,China,616.4328859,183697,298,Nanjing,1999
39,Moore-Bass,3,UK,264.6976127,199582,754,ardiff,2003
40,"Turner, Riggs and Roman",3,India,240.9087523,129368,537,Hyderabad,2006
41,"Smith, Montoya and Evans",3,anada,1010.877193,115240,114,Ottawa,1993
42,"Garia, Humphrey and Baker",3,Frane,4365.086957,100397,23,Nie,1992
43,Newton and Sons,3,India,347.2810811,64247,185,Bangalore,2006
44,ampbell-lark,3,anada,329.6296296,195800,594,Hamilton,2017
45,Harris-Walters,3,USA,179.3515704,177020,987,Los Angeles,1994
46,Wagner-King,3,Germany,132.0743707,115433,874,Essen,1992
47,Davis Group,3,India,346.8543478,159553,460,Jaipur,1999
48,Williams-ook,3,Germany,506.2290076,198948,393,Berlin,2009
49,Walsh LL,3,USA,188.6601671,135458,718,Philadelphia,2003
50,Figueroa PL,3,Japan,103.3948655,84577,818,Osaka,2012
51,"Patterson, Smith and Jones",3,Frane,210.7962771,203840,967,Lille,1999
52,"Mkee, Gardner and Davenport",3,Japan,131.9685466,121675,922,Yokohama,2001
53,"Tran, Jordan and Williams",3,Frane,236.2028424,182821,774,Paris,2001
54,Nolan-Flynn,3,India,880.7713311,258066,293,Ahmedabad,2005
55,Nolan and Sons,3,Germany,330.2365827,301506,913,Munih,2014
56,"Wright, Garia and Deleon",3,USA,252.6339286,56590,224,San Diego,2004
57,Dikson-Brady,3,anada,147.5,126850,860,Edmonton,2009
58,Hanok and Sons,3,Japan,225.0244604,156392,695,Nagoya,1991
59,Johnson-Doyle,3,Japan,650.052459,198266,305,Kobe,2011
60,Patton-Jenkins,3,China,285.0251479,192677,676,hengdu,2012
61,"Shields, ohran and Adams",3,Frane,362.0682977,355189,981,Bordeaux,2011
62,"Rodriguez, Brennan and Garrison",3,USA,648.0594059,130908,202,Los Angeles,2006
63,Gonzalez Group,3,UK,339.0269841,213587,630,London,1996
64,Torres-Pope,3,Frane,323.832618,150906,466,Nantes,2010
65,Walker Ltd,3,China,248.0214286,69446,280,Tianjin,2002
66,Ross LL,3,USA,182.3550725,100660,552,San Antonio,1990
67,Rasmussen LL,3,Japan,2067.516484,188144,91,Fukuoka,2017
68,May-Ross,3,India,176.2589413,123205,699,Jaipur,2010
69,"Rivera, Johnson and Wiley",3,China,276.327381,92846,336,hengdu,2022
70,White-Estes,3,Frane,158.4351978,116133,733,Nantes,2015
71,Johnson-arlson,3,UK,648.6574074,140110,216,Bristol,1998
72,handler-Edwards,3,Frane,386.5107692,251232,650,Strasbourg,2001
73,"Joye, Wilson and Lam",3,UK,500.3323263,165610,331,Sheffield,1990
74,Sott Ltd,3,UK,177.9902913,146664,824,Liverpool,2017
75,Smith-Frost,3,India,128.0423729,60436,472,Pune,2018
76,"Mdaniel, Bentley and Mlaughlin",3,Japan,414.5444712,344901,832,Kawasaki,2020
77,Diaz In,3,Germany,257.0018282,140580,547,Munih,2008
78,"Mall, Hanson and Alvarado",3,India,333.4350282,236072,708,Delhi,2005
79,ortez LL,3,UK,893.7294118,151934,170,Liverpool,2002
80,"Parker, Ortiz and Powell",3,USA,252.5237154,127777,506,New York,2005
81,Spener-Lee,3,China,112.9967638,104748,927,Wuhan,2016
82,"Bentley, Byrd and Orr",3,Japan,761.2727273,326586,429,Kobe,2021
83,"arroll, Sullivan and Bass",3,Japan,138.1156317,129000,934,Yokohama,1990
84,Mithell-Jordan,3,China,592.24,118448,200,Tianjin,2004
85,"Lawson, Morris and Ramos",3,anada,358.3514077,343659,959,Toronto,2005
86,"Lewis, Kennedy and Santana",3,China,97.94642857,82275,840,Wuhan,1998
87,"Jakson, Miller and Robertson",3,anada,87.29032258,86592,992,Hamilton,2010
88,"Harvey, Davis and rane",3,anada,803.4232456,366361,456,Halifax,2022
89,hambers and Sons,3,anada,312.03125,149775,480,Vanouver,2020
90,Hernandez In,3,UK,157.2773632,126451,804,Liverpool,2007
91,Riggs PL,3,anada,423.5234043,199056,470,algary,2007
92,Gibson Ltd,3,China,997.2483221,297180,298,hengdu,2005
93,"Lee, Horton and Snyder",3,India,759.0621118,122209,161,Kolkata,1995
94,Hernandez Ltd,3,Germany,203.2767123,148392,730,Frankfurt,2014
95,Stafford In,3,Germany,918.5990991,407858,444,Frankfurt,1994
96,Robinson-Brok,3,Frane,543.8202247,242000,445,Nantes,2019
97,"Holmes, Williams and Wright",3,USA,399.7272727,167086,418,Houston,2016
98,Bryant Group,3,USA,677.3484252,344093,508,San Jose,2014
99,"Shmidt, Hansen and Stewart",3,USA,781.9671302,618536,791,Philadelphia,2009
100,Salazar-Ball,3,Frane,291.1926782,151129,519,Strasbourg,2004
101,"Simmons, Meadows and Griffin",3,Japan,132.2301741,68363,517,Sapporo,2017
102,Manning Group,3,USA,256.5696023,180625,704,San Antonio,2011
103,Green-Wright,3,Frane,143.0489074,137470,961,Lyon,2019
104,"Ramirez, Strikland and Washington",3,Germany,210.3101266,199374,948,Leipzig,1991
105,Hill In,3,Frane,1174.52381,123325,105,Lille,1991
106,"Mithell, Nelson and Flores",3,Frane,851.0582524,175318,206,Lyon,2019
107,"Miller, Hernandez and Reyes",3,USA,305.3380282,108395,355,Phoenix,2014
108,Marthy In,3,Japan,261.7452055,95537,365,Kyoto,2010
109,Russell-Daniels,3,Frane,510.2733813,141856,278,Nie,2016
110,Brown-Wall,3,China,348.9174079,274598,787,Wuhan,1991
111,Stein-Silva,3,USA,289.9927007,198645,685,Philadelphia,2004
112,"Smith, Gilmore and Johnston",3,China,145.8568548,144690,992,Beijing,1991
113,Smith-Bell,3,Japan,184.0914634,120764,656,Nagoya,1991
114,astaneda-Ashley,3,Germany,298.9861111,150689,504,Frankfurt,1998
115,Medina-Navarro,3,China,154.1834677,76475,496,Hangzhou,2003
116,"Hurst, Freeman and Nelson",3,UK,327.984375,209910,640,Leeds,2000
117,Johnson-Rogers,3,China,1433.746154,186387,130,Guangzhou,2009
118,"Yates, Ramsey and Pittman",3,USA,1004.316901,427839,426,Phoenix,2014
119,Hooper PL,3,Japan,761.8629032,94471,124,Osaka,2005
120,Meadows PL,3,UK,98.45868263,82213,835,ardiff,1997
121,"Alvarado, Miller and Patterson",3,USA,190.6083214,132854,697,Philadelphia,2017
122,White-Green,3,India,180.6939971,123414,683,Delhi,2022
123,Lewis-Murphy,3,India,84.36774942,72725,862,Mumbai,2016
124,Ramirez-Bean,3,anada,250.0384615,97515,390,Montreal,2017
125,King-Miller,3,anada,534.18,106836,200,Vanouver,2017
126,urry In,3,UK,534.7459677,265234,496,ardiff,2020
127,Walker-Jones,3,Frane,591.6171429,207066,350,Lille,2007
128,"Williams, Johnson and Wright",3,Japan,455.9360087,420373,922,Osaka,2007
129,Howell and Sons,3,anada,482.7429519,291094,603,algary,2019
130,Wells In,3,Frane,440.5019011,231704,526,Nantes,1991
131,"Gould, Marshall and Sott",3,India,983.535865,233098,237,Bangalore,2021
132,Jakson-Lawson,3,India,1000.271242,306083,306,hennai,2011
133,"Higgins, Strikland and Martin",3,UK,456.0382514,250365,549,Bristol,1990
134,Rodriguez-Johnson,3,Japan,153.5508587,116238,757,Osaka,2005
135,Johnston-Odonnell,3,Frane,216.0330124,157056,727,Montpellier,2005
136,Sanders-Espinoza,3,anada,190.0348977,157919,831,Quebe ity,2018
137,Vargas Ltd,3,USA,797.1504065,196099,246,Los Angeles,2008
138,Garia LL,3,Frane,361.6423462,252788,699,Toulouse,2009
139,"Burke, Martinez and Riggs",3,India,159.1747312,59213,372,Pune,2023
140,Reed Group,3,Frane,334.1710526,126985,380,Bordeaux,2011
141,"Wood, Hunter and Peterson",3,anada,971.2815884,269045,277,Ottawa,2009
142,Short-Garia,3,Japan,369.2244898,126644,343,Osaka,2002
143,Reid-Poole,3,China,1220.314815,263588,216,Nanjing,2001
144,"Hernandez, Thompson and Boyd",3,Japan,262.0919842,199452,761,Kyoto,2007
145,"Nelson, Morton and Medina",3,UK,671.5232198,216902,323,Manhester,2002
146,Marshall-Petersen,3,Japan,1568.647416,516085,329,Fukuoka,2001
147,"Adams, hristian and Rivas",3,USA,841.91,252573,300,Dallas,1998
148,Ramirez Group,3,USA,106.5217984,78187,734,New York,2008
149,hristensen PL,3,Germany,302.1204819,275836,913,Dortmund,1996
150,"Barnett, Rogers and Snyder",3,USA,509.028,254514,500,San Jose,2008
151,White-Lewis,3,anada,1410.375,293358,208,Quebe ity,2011
152,Peterson-Beard,3,USA,896.7941176,121964,136,Phoenix,2020
153,"Beard, Peters and Blak",3,China,2364.347368,224613,95,Tianjin,2021
154,Miller Ltd,3,USA,371.6270588,315883,850,hiago,1999
155,Freeman-hang,3,UK,880.248227,124115,141,Manhester,2005
156,"Alvarez, Joseph and West",3,Frane,119.6977887,97434,814,Lille,2004
157,Davis and Sons,3,Frane,733.9074074,237786,324,Montpellier,2018
158,Holt-Torres,3,Frane,256.5263975,165203,644,Nie,1993
159,"Wood, Tran and ooper",3,China,714.9034483,207322,290,Shenzhen,2003
160,"Piere, Bell and havez",3,China,793.4213198,156304,197,Guangzhou,2005
161,King-Martinez,3,China,358.5844749,157060,438,Guangzhou,1990
162,Stewart Ltd,3,anada,625.6823899,198967,318,Halifax,2020
163,"Tapia, Vaughn and Lee",3,USA,294.5585464,218857,743,Houston,2008
164,"Washington, Hardy and Bray",3,UK,308.1618257,222801,723,Edinburgh,1994
165,"arlson, Hooper and Wall",3,Japan,506.767033,230579,455,Sapporo,2002
166,Perez-White,3,China,248.6339678,169817,683,Nanjing,2004
167,Erikson and Sons,3,Germany,979.8387097,91125,93,ologne,1999
168,Williams-Brown,3,USA,294.3767886,185163,629,hiago,2009
169,Terry-Martinez,3,UK,152.3006012,75998,499,Edinburgh,1997
170,Garia-Smith,3,UK,210.2105263,111832,532,Sheffield,2007
171,Harrison-Alexander,3,anada,84.24050633,53240,632,Quebe ity,1995
172,Sheppard LL,3,USA,114.4451411,73016,638,San Antonio,2010
173,Wilson-Jones,3,UK,1224.200787,310947,254,London,1995
174,Jones-Soto,3,USA,278.4419476,223032,801,Phoenix,1992
175,Hernandez PL,3,Germany,216.2969432,148596,687,Dortmund,2023
176,Miller-Wright,3,anada,60.69466882,37570,619,Ottawa,2001
177,"Duran, Obrien and Gibbs",3,Frane,306.1916168,153402,501,Montpellier,1995
178,Rowe Group,3,India,352.1810345,122559,348,Ahmedabad,2011
179,Kerr-Evans,3,China,754.2857143,332640,441,Guangzhou,2011
180,"Branh, Torres and Oliver",3,anada,213.4243845,182051,853,Ottawa,2015
181,"hoi, Garia and Farmer",3,USA,759.7368421,259830,342,San Diego,1995
182,"lark, Guerrero and Moore",3,UK,278.0468557,225496,811,Leeds,1997
183,Arnold and Sons,3,Frane,312.9235209,216856,693,Bordeaux,1990
184,Ortiz Ltd,3,anada,924.3113208,195954,212,Winnipeg,1993
185,"Harrison, Johnson and Roberts",3,India,183.9742424,121423,660,Jaipur,2021
186,Warner-Gibson,3,anada,648.6177474,190045,293,Toronto,2003
187,"Hall, Baker and Moody",3,Germany,200.52443,184683,921,ologne,2018
188,"Guerrero, Pek and oleman",3,anada,207.518797,138000,665,Montreal,1991
189,"Walker, Hernandez and Baker",3,Japan,308.0496575,179901,584,Yokohama,2009
190,Jones and Sons,3,USA,2447.043478,281410,115,Dallas,2016
191,Larson-Holloway,3,Japan,187.6309403,185567,989,Osaka,2019
192,Gonzales-Harrison,3,China,115.7066667,112814,975,Guangzhou,2021
193,Lyons-Bender,3,UK,436.3573034,194179,445,Bristol,2007
194,"Fernandez, Kim and George",3,anada,243.7145791,118689,487,Quebe ity,2005
195,Navarro-Munoz,3,Germany,310.8390447,299338,963,D眉sseldorf,2002
196,Davis Ltd,3,Germany,202.892725,164546,811,Munih,2007
197,"Matthews, Smith and Hubbard",3,Frane,662.668942,194162,293,Nantes,2022
198,Johnston-Hines,3,USA,65.14595211,57133,877,Phoenix,2009
199,Ruiz Ltd,3,anada,257.4605954,147010,571,Vanouver,2018
200,Moon-White,3,anada,456.1623932,266855,585,Edmonton,2011
201,"Graham, Olsen and osta",3,Frane,99.27252747,90338,910,Montpellier,2010
202,Bailey-ook,3,Japan,615.5019305,159415,259,Nagoya,2014
203,"Garia, Martin and Jenkins",3,Frane,177.0485934,138452,782,Paris,2010
204,Roberts-Landry,3,anada,428.9985694,299870,699,Winnipeg,2014
205,"Johnson, Miller and King",3,Germany,1296.61745,193196,149,Dortmund,1992
206,ordova Group,3,India,1189.721311,145146,122,Delhi,2018
207,"Bryan, Smith and Booth",3,anada,805.1958998,353481,439,Toronto,1999
208,Gutierrez-Lopez,3,Germany,153.2853659,125694,820,Munih,2020
209,Dean-Jimenez,3,UK,415.1138686,284353,685,Leeds,2015
210,Wolf-Harris,3,China,162.6238716,162136,997,hongqing,2014
211,"Anderson, Roberts and Gilmore",3,India,133.4662577,87020,652,Pune,1992
212,Martinez-Dudley,3,China,1137.916667,286755,252,Shenzhen,2008
213,"Lloyd, Mkinney and ollins",3,China,236.6190476,188822,798,Tianjin,1996
214,Tran In,3,China,391.4739726,285776,730,Wuhan,2000
215,Gay In,3,UK,646.8409091,227688,352,London,1992
216,Valentine-Holland,3,USA,326.044665,131396,403,Phoenix,2012
217,Jimenez Ltd,3,Frane,525.6909414,295964,563,Lyon,2005
218,Hiks-Hill,3,Frane,651.0721649,126308,194,Lille,2001
219,Baird-Sanhez,3,Germany,356.559633,233190,654,Munih,2014
220,"Thomas, Lee and Greene",3,Japan,756.6070039,194448,257,Kyoto,1999
221,"Suarez, Shields and Hill",3,anada,963.3523132,270702,281,Ottawa,2019
222,Morgan-Frenh,3,USA,342.8330996,244440,713,San Diego,2008
223,Hoover-ampbell,3,Germany,295.4214792,291581,987,Munih,2018
224,Monroe-arpenter,3,India,222.4421365,149926,674,Jaipur,2009
225,"Burns, Hernandez and Ryan",3,Frane,141.4429379,125177,885,Nie,2019
226,ook-Hines,3,UK,149.3370661,133358,893,Liverpool,2014
227,Gibson-Morris,3,anada,446.3560976,183006,410,Montreal,2005
228,Pollard and Sons,3,India,147.5896739,108626,736,Jaipur,2008
229,"Reyes, hase and Jenkins",3,UK,1230.408638,370353,301,London,2015
230,Garner-Thornton,3,USA,163.2142857,155380,952,San Jose,1993
231,Hughes-Alvarado,3,anada,158.7082683,101732,641,Ottawa,2004
232,"Pollard, Simpson and Johnson",3,India,287.1267176,188068,655,Hyderabad,2002
233,"Sanford, Rivera and Garia",3,UK,346.5767196,327515,945,Birmingham,1996
234,Garia-Lozano,3,USA,3409.796296,184129,54,Phoenix,2018
235,Bowen Group,3,India,120.7423764,114826,951,Bangalore,1995
236,"Booker, Jones and Harrington",3,UK,752.8341709,149814,199,Leeds,2016
237,Morgan-Shwartz,3,Japan,380.0746004,213982,563,Yokohama,2013
238,"Miller, Murphy and raig",3,UK,373.1256545,356335,955,Birmingham,2006
239,"James, Stewart and Higgins",3,anada,462.2455516,389673,843,Ottawa,2011
240,Brennan-Johnson,3,China,819.75,134439,164,Wuhan,1994
241,Young Ltd,3,Japan,2286.901786,256133,112,Kobe,2013
242,Bright-Franis,3,Frane,327.6010545,186405,569,Paris,2006
243,Good-Hodges,3,China,100.6539548,71263,708,Wuhan,2013
244,"Brennan, Wallae and Benson",3,UK,159.7308585,137688,862,ardiff,2014
245,Williams In,3,India,249.6035857,125301,502,Delhi,2004
246,Howard-Jordan,3,USA,189.6886102,181532,957,San Jose,2010
247,Shmidt PL,3,Japan,85.43217666,81246,951,Osaka,2019
248,"Sparks, Jakson and Miller",3,UK,876.8282209,142923,163,Sheffield,1997
249,Harvey-Allen,3,USA,431.6851145,226203,524,New York,2009
250,"Thomas, Murray and King",3,China,475.0894397,440883,928,Shanghai,2005
302,Estrada-Nolan,4,Germany,158.1958763,30690,194,D眉sseldorf,2014
303,Santana-Byrd,4,Frane,253.7931034,95680,377,Lille,2023
304,Jones LL,4,Germany,1865.8,102619,55,D眉sseldorf,2020
305,"Evans, Hayden and Vaughn",4,anada,167.5670103,81270,485,Halifax,2013
306,Brue-Gonzalez,4,UK,185.7525773,36036,194,London,2022
307,astaneda-Rodriguez,4,Japan,257.8879837,126623,491,Kyoto,2014
308,Armstrong-Andrews,4,Japan,109.0983146,38839,356,Fukuoka,2003
309,"Phillips, Spene and Barrett",4,India,174.212766,32752,188,Surat,2020
310,Smith-Grimes,4,USA,572.2745098,58372,102,San Antonio,2008
311,"Beltran, Lozano and Mgee",4,China,121.1802326,41686,344,Wuhan,2002
312,Parsons-Hall,4,Japan,1030.5,30915,30,Saitama,2000
313,Robinson-Lee,4,India,74.34889435,30260,407,Hyderabad,2004
314,Byrd-Le,4,Japan,484.8288288,53816,111,Osaka,2017
315,"Beker, Taylor and Davis",4,Japan,184.5810474,74017,401,Nagoya,2010
316,"Luas, Parker and Alexander",4,Germany,278.0205479,40591,146,Leipzig,2000
317,"Diaz, Anderson and Browning",4,Germany,343.0902256,45631,133,Hamburg,2017
318,Burgess-Thompson,4,Germany,60.09598214,26923,448,Munih,2021
319,Buhanan LL,4,USA,176.037234,33095,188,hiago,2000
320,"Shaw, Nelson and Martin",4,Japan,1866.769231,24268,13,Saitama,2010
321,offey-Phillips,4,Germany,903.173913,62319,69,ologne,2001
322,Brok-Mdonald,4,Frane,308.3238342,119013,386,Bordeaux,2003
323,Taylor and Sons,4,China,228.9404467,92263,403,Wuhan,2014
324,"Ramsey, Whitney and offey",4,India,2139.033333,128342,60,Surat,2018
325,"Diaz, Gibbs and Smith",4,anada,130.5214724,63825,489,Hamilton,2007
326,"Martinez, Rihardson and urry",4,USA,178.8033473,42734,239,Dallas,2009
327,Rihards-arson,4,USA,242.9863014,106428,438,New York,2015
328,Rodriguez-Hall,4,Frane,1004.2,60252,60,Strasbourg,2021
329,Harvey PL,4,anada,133.5892473,62119,465,Quebe ity,2002
330,Herman-Walker,4,China,1102.8125,88225,80,hongqing,2019
331,Reid Group,4,China,165.9074074,53754,324,Guangzhou,2008
332,"Turner, Ortiz and Taylor",4,India,193.6884058,53458,276,Ahmedabad,2019
333,Torres Group,4,UK,227.8821656,71555,314,Edinburgh,2016
334,Davis PL,4,Frane,986.3809524,62142,63,Marseille,2022
335,Prie LL,4,Japan,208.9084967,95889,459,Kobe,2014
336,"Avery, Horton and Fernandez",4,Japan,143.7336449,61518,428,Kobe,2010
337,"Newton, Moore and Perry",4,anada,239.9259259,90692,378,Winnipeg,2013
338,Bass PL,4,China,247.7272727,40875,165,hongqing,2013
339,rosby-Ramirez,4,UK,99.56460674,35445,356,Leeds,2004
340,"Wood, Ramos and Sampson",4,anada,202.427907,87044,430,Montreal,2002
341,Garia-Jennings,4,China,931.8148148,50318,54,Shanghai,2013
342,"Winters, Newman and Brown",4,India,1085.485714,37992,35,Bangalore,2017
343,Lopez-Martinez,4,India,378.7849462,70454,186,Delhi,2013
344,Davis-Lewis,4,Frane,303.3910256,94658,312,Paris,2009
345,"Harper, Smith and Buhanan",4,UK,437.2333333,131170,300,Leeds,2003
346,Zhang PL,4,Japan,184.501992,46310,251,Yokohama,2021
347,Jones PL,4,Japan,261.9038902,114452,437,Osaka,2011
348,Willis and Sons,4,India,242.1375839,72157,298,Delhi,2008
349,Shroeder-Kramer,4,Japan,129.093199,51250,397,Kobe,2017
350,"Smith, Garrison and Thomas",4,USA,185.1002331,79408,429,San Jose,2021
351,Fernandez and Sons,4,UK,1131.965278,163003,144,London,2005
352,Guerrero In,4,UK,7882.875,63063,8,Leeds,2011
353,Smith and Sons,4,Germany,116.71261,39799,341,Hamburg,2018
354,"Morris, Thompson and Williams",4,Frane,211.59375,81252,384,Marseille,2004
355,"Fisher, Wilson and Brown",4,USA,483.1304348,133344,276,Los Angeles,2023
356,Strikland-Palmer,4,Japan,443.1223629,105020,237,Kobe,2013
357,Hayes and Sons,4,India,233.7134146,38329,164,Bangalore,2011
358,"Williams, Logan and amaho",4,India,754.6458333,36223,48,Jaipur,2019
359,"Turner, Shneider and Johnson",4,USA,115.2838875,45076,391,hiago,2005
360,Boone-Simmons,4,USA,224.5281385,51866,231,Los Angeles,2008
361,Henry Group,4,Frane,177.3982684,40979,231,Montpellier,2019
362,Lam LL,4,Frane,241.6675192,94492,391,Nie,2006
363,"Hernandez, Martinez and Weber",4,China,2166.852459,132178,61,hongqing,2013
364,"Kelley, Nguyen and Vang",4,UK,409.8284672,112293,274,ardiff,2015
365,"Phillips, Wagner and Jordan",4,UK,326.7391304,67635,207,London,2007
366,"Wilson, Pena and Rih",4,USA,518.5345912,82447,159,New York,2006
367,"Le, Lewis and Hayes",4,Japan,179.4509804,27456,153,Yokohama,2008
368,Gutierrez Group,4,India,159.5096525,41313,259,Delhi,2000
369,Perry-Davis,4,Frane,205.0954774,40814,199,Lyon,2004
370,Edwards-Sott,4,Japan,128.3781903,55331,431,Kawasaki,2017
371,Mdaniel Group,4,India,65.02017937,28999,446,Delhi,2012
372,Davis In,4,USA,253.4583333,60830,240,San Antonio,2000
373,Reynolds Ltd,4,China,195.1607143,43716,224,hongqing,2018
374,"Watson, Anderson and Brown",4,Frane,538.015873,33895,63,Strasbourg,2009
